attribute_0,symboling,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,compression-ratio,city-mpg,highway-mpg,make_alfa-romero,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,fuel-type_diesel,fuel-type_gas,aspiration_std,aspiration_turbo,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-location_rear,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,fuel-system_1bbl,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,normalized-losses,num-of-doors,bore,stroke,peak-rpm,class,price
0,3.0,88.6,168.8,64.1,48.8,2548.0,4,130.0,9.0,21,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,122.0,2.0,3.47,2.68,5000.0,111.0,13495
1,3.0,88.6,168.8,64.1,48.8,2548.0,4,130.0,9.0,21,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,122.0,2.0,3.47,2.68,5000.0,111.0,16500
2,1.0,94.5,171.2,65.5,52.4,2823.0,6,152.0,9.0,19,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,122.0,2.0,2.68,3.47,5000.0,154.0,16500
3,2.0,99.8,176.6,66.2,54.3,2337.0,4,109.0,10.0,24,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,164.0,4.0,3.19,3.4,5500.0,102.0,13950
4,2.0,99.4,176.6,66.4,54.3,2824.0,5,136.0,8.0,18,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,164.0,4.0,3.19,3.4,5500.0,115.0,17450
5,2.0,99.8,177.3,66.3,53.1,2507.0,5,136.0,8.5,19,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122.0,2.0,3.19,3.4,5500.0,110.0,15250
6,1.0,105.8,192.7,71.4,55.7,2844.0,5,136.0,8.5,19,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,158.0,4.0,3.19,3.4,5500.0,110.0,17710
7,1.0,105.8,192.7,71.4,55.7,2954.0,5,136.0,8.5,19,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122.0,4.0,3.19,3.4,5500.0,110.0,18920
8,1.0,105.8,192.7,71.4,55.9,3086.0,5,131.0,8.3,17,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,158.0,4.0,3.13,3.4,5500.0,140.0,23875
9,2.0,101.2,176.8,64.8,54.3,2395.0,4,108.0,8.8,23,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,192.0,2.0,3.5,2.8,5800.0,101.0,16430
10,0.0,101.2,176.8,64.8,54.3,2395.0,4,108.0,8.8,23,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,192.0,4.0,3.5,2.8,5800.0,101.0,16925
11,0.0,101.2,176.8,64.8,54.3,2710.0,6,164.0,9.0,21,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,188.0,2.0,3.31,3.19,4250.0,121.0,20970
12,0.0,101.2,176.8,64.8,54.3,2765.0,6,164.0,9.0,21,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,188.0,4.0,3.31,3.19,4250.0,121.0,21105
13,1.0,103.5,189.0,66.9,55.7,3055.0,6,164.0,9.0,20,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122.0,4.0,3.31,3.19,4250.0,121.0,24565
14,0.0,103.5,189.0,66.9,55.7,3230.0,6,209.0,8.0,16,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122.0,4.0,3.62,3.39,5400.0,182.0,30760
15,0.0,103.5,193.8,67.9,53.7,3380.0,6,209.0,8.0,16,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122.0,2.0,3.62,3.39,5400.0,182.0,41315
16,0.0,110.0,197.0,70.9,56.3,3505.0,6,209.0,8.0,15,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122.0,4.0,3.62,3.39,5400.0,182.0,36880
17,2.0,88.4,141.1,60.3,53.2,1488.0,3,61.0,9.5,47,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,121.0,2.0,2.91,3.03,5100.0,48.0,5151
18,1.0,94.5,155.9,63.6,52.0,1874.0,4,90.0,9.6,38,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,98.0,2.0,3.03,3.11,5400.0,70.0,6295
19,0.0,94.5,158.8,63.6,52.0,1909.0,4,90.0,9.6,38,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,81.0,4.0,3.03,3.11,5400.0,70.0,6575
20,1.0,93.7,157.3,63.8,50.8,1876.0,4,90.0,9.41,37,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,118.0,2.0,2.97,3.23,5500.0,68.0,5572
21,1.0,93.7,157.3,63.8,50.8,1876.0,4,90.0,9.4,31,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,118.0,2.0,2.97,3.23,5500.0,68.0,6377
22,1.0,93.7,157.3,63.8,50.8,2128.0,4,98.0,7.6,24,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,118.0,2.0,3.03,3.39,5500.0,102.0,7957
23,1.0,93.7,157.3,63.8,50.6,1967.0,4,90.0,9.4,31,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,148.0,4.0,2.97,3.23,5500.0,68.0,6229
24,1.0,93.7,157.3,63.8,50.6,1989.0,4,90.0,9.4,31,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,148.0,4.0,2.97,3.23,5500.0,68.0,6692
25,1.0,93.7,157.3,63.8,50.6,1989.0,4,90.0,9.4,31,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,148.0,4.0,2.97,3.23,5500.0,68.0,7609
26,1.0,93.7,157.3,63.8,50.6,2191.0,4,98.0,7.6,24,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,148.0,3.135678391959799,3.03,3.39,5500.0,102.0,8558
27,-1.0,103.3,174.6,64.6,59.8,2535.0,4,122.0,8.5,24,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,110.0,4.0,3.34,3.46,5000.0,88.0,8921
28,3.0,95.9,173.2,66.3,50.2,2811.0,4,156.0,7.0,19,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,145.0,2.0,3.6,3.9,5000.0,145.0,12964
29,2.0,86.6,144.6,63.9,50.8,1713.0,4,92.0,9.6,49,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,137.0,2.0,2.91,3.41,4800.0,58.0,6479
30,2.0,86.6,144.6,63.9,50.8,1819.0,4,92.0,9.2,31,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,137.0,2.0,2.91,3.41,6000.0,76.0,6855
31,1.0,93.7,150.0,64.0,52.6,1837.0,4,79.0,10.1,38,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,101.0,2.0,2.91,3.07,5500.0,60.0,5399
